variable,vif
annual_ai_log_w,1.1429586592759697
ln_assets_w,1.4576590243024024
leverage_w,1.327839776493189
rd_intensity_w,1.2113112710558247
firm_age_w,1.3413268785415078
revenue_growth_w,1.023367466421755
