,count,mean,std,min,25%,median,75%,max
quality_efficiency_index,29614.0,2.9874425746203617e-05,0.7938388891945596,-4.020149609420836,-0.42118756221689146,-0.0023437953992564743,0.43783958360970726,3.3315360594144803
annual_ai_log,28456.0,0.9543026311783575,1.1926530388788281,0.0,0.0,0.6931471805599453,1.6094379124341003,6.403574197934815
mda_ai_log,28456.0,0.7941659574228009,1.0920661510358483,0.0,0.0,0.0,1.3862943611198906,6.327936783729195
ai_application_index,28941.0,-0.016853797339140945,0.7182428861814137,-2.402305941307003,-0.4956006930625536,-0.19967630301240671,0.25059214326619766,11.452166829792128
ai_invest_log,26102.0,15.66648548249562,2.012113764822031,0.0,14.488108980265766,15.73909614816775,16.94382940773977,22.80213216081895
tfp,28832.0,7.709038818922937,0.7033769667314826,2.2410509520272637,7.285219037092779,7.684518661720952,8.111342403703567,11.786910915679043
ln_assets,29615.0,21.98406114493892,1.2603281833197209,16.161340285155816,21.151332307951805,21.850046223086615,22.68226595273945,27.637649379039413
leverage,29615.0,0.39229638104142095,0.4327826689146092,-0.19469801544188978,0.2290692292130121,0.37392580307571854,0.5252107290286632,63.97120593900183
rd_intensity,28751.0,2.02245617009441,252.34517710937885,-0.7341028053216582,0.03000369845363063,0.042002664336533976,0.06259901531480146,41693.793585842686
firm_age,28100.0,9.113629893238434,7.813081520549506,0.0,3.0,7.0,14.0,34.0
revenue_growth,28756.0,2.6847819068368337,351.53384823754106,-29.476421,-0.04291775,0.0957255,0.3017785,59411.548892
