model,base_year,year,event_time,period,coef,std_err,t_value,p_value,nobs,firms
policy_exposure_event_study,2016,2013,-4,pre,-0.0723439892862875,0.036088958672420436,-2.004601738247813,0.04500564067276118,27976,3794
policy_exposure_event_study,2016,2014,-3,pre,-0.020963092246142262,0.033103675753547813,-0.6332557267117259,0.526566659896564,27976,3794
policy_exposure_event_study,2016,2015,-2,pre,0.037752756384111005,0.03076618147706474,1.2270861891734777,0.21979019812929845,27976,3794
policy_exposure_event_study,2016,2017,0,policy_year,-0.08762662448720758,0.027023342369172147,-3.242627180980056,0.0011843307591337907,27976,3794
policy_exposure_event_study,2016,2018,1,post,-0.17001560567442087,0.030719329765469542,-5.534482912629464,3.121478588266605e-08,27976,3794
policy_exposure_event_study,2016,2019,2,post,-0.10539443837627832,0.03222422784493989,-3.2706583035418864,0.0010729746990429708,27976,3794
policy_exposure_event_study,2016,2020,3,post,0.00822768771738883,0.03387429211651619,0.24288884588608808,0.8080915065690102,27976,3794
policy_exposure_event_study,2016,2021,4,post,-0.07422035989465003,0.03406918749173596,-2.1785186368959755,0.02936744626248704,27976,3794
policy_exposure_event_study,2016,2022,5,post,-0.04882678759600186,0.034617875732733776,-1.4104501377544811,0.15840680975325827,27976,3794
policy_exposure_event_study,2016,2023,6,post,0.02158825186859128,0.03334451701650813,0.647430336384942,0.5173534674145841,27976,3794
policy_exposure_event_study,2016,2024,7,post,0.05035868021477056,0.034487897232823195,1.4601841299516125,0.14423947573207077,27976,3794
